"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: count"
"org.example.BranchBenchmark.run","avgt",1,5,0.575707,0.030493,"ms/op",1
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,909.810567,49.701302,"MB/sec",1
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,641820.388399,663.316151,"B/op",1
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,0.000000,NaN,"counts",1
"org.example.BranchBenchmark.run","avgt",1,5,4.001489,0.295630,"ms/op",10
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,1046.018317,75.450836,"MB/sec",10
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,5130944.852227,3276.948614,"B/op",10
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,651.860159,1504.051918,"MB/sec",10
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,3220004.699204,7412200.937878,"B/op",10
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,4.000000,NaN,"counts",10
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,117.000000,NaN,"ms",10
"org.example.BranchBenchmark.run","avgt",1,5,37.791932,1.066999,"ms/op",100
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,1176.887497,37.518667,"MB/sec",100
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,54447292.996875,36468.916105,"B/op",100
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,1057.624316,298.325953,"MB/sec",100
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,48915506.087826,12715609.435651,"B/op",100
"org.example.BranchBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.004298,0.037007,"MB/sec",100
"org.example.BranchBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,197.135802,1697.398712,"B/op",100
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,10.000000,NaN,"counts",100
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,40.000000,NaN,"ms",100
"org.example.BranchBenchmark.run","avgt",1,5,611.283900,53.601150,"ms/op",1000
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,1251.152832,152.683466,"MB/sec",1000
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,925908277.813333,409789.646425,"B/op",1000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,1137.231568,565.507178,"MB/sec",1000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,840472111.786667,365538294.944642,"B/op",1000
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,5.000000,NaN,"counts",1000
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,97.000000,NaN,"ms",1000
"org.example.BranchBenchmark.run","avgt",1,5,1792.905550,94.579705,"ms/op",2000
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,1311.099893,56.806552,"MB/sec",2000
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,2814142237.600000,343156.941329,"B/op",2000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,1050.310209,41.267310,"MB/sec",2000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,2254595686.400000,126082170.616646,"B/op",2000
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,5.000000,NaN,"counts",2000
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,198.000000,NaN,"ms",2000
"org.example.BranchBenchmark.run","avgt",1,5,3615.427980,129.613392,"ms/op",3000
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,1298.871652,40.846099,"MB/sec",3000
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,5615888409.600000,5241117.944957,"B/op",3000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,932.176115,53.377190,"MB/sec",3000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,4030935859.200000,338512444.967955,"B/op",3000
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,5.000000,NaN,"counts",3000
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,544.000000,NaN,"ms",3000
"org.example.BranchBenchmark.run","avgt",1,5,6242.985280,210.395295,"ms/op",4000
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,1346.228223,41.316982,"MB/sec",4000
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,9525622316.800000,1267550.323025,"B/op",4000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,1023.953915,37.357217,"MB/sec",4000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,7245240729.600000,103004701.146755,"B/op",4000
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,10.000000,NaN,"counts",4000
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,1352.000000,NaN,"ms",4000
"org.example.BranchBenchmark.run","avgt",1,5,8586.571480,349.845102,"ms/op",5000
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,1484.073529,58.048227,"MB/sec",5000
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,14152093209.600000,2030879.352007,"B/op",5000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,1293.541029,93.168141,"MB/sec",5000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,12335133491.200000,727000017.166857,"B/op",5000
"org.example.BranchBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,1.904512,10.845763,"MB/sec",5000
"org.example.BranchBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,18369142.400000,105029901.673778,"B/op",5000
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,24.000000,NaN,"counts",5000
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,3505.000000,NaN,"ms",5000
