"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: count"
"org.example.BranchBenchmark.run","avgt",1,5,0.544361,0.039153,"ms/op",1
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,942.564987,68.559036,"MB/sec",1
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,628694.455093,675.411833,"B/op",1
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,0.000000,NaN,"counts",1
"org.example.BranchBenchmark.run","avgt",1,5,3.644188,0.108286,"ms/op",10
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,1109.514231,34.787104,"MB/sec",10
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,4948769.910425,2312.418684,"B/op",10
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,647.596631,1493.295537,"MB/sec",10
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,2897037.642880,6695768.821124,"B/op",10
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,4.000000,NaN,"counts",10
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,119.000000,NaN,"ms",10
"org.example.BranchBenchmark.run","avgt",1,5,35.518182,0.350647,"ms/op",100
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,1139.257360,13.203748,"MB/sec",100
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,49562736.469932,33650.484832,"B/op",100
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,963.347850,842.646304,"MB/sec",100
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,41896793.638523,36405131.178358,"B/op",100
"org.example.BranchBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.014147,0.121810,"MB/sec",100
"org.example.BranchBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,616.884706,5311.563359,"B/op",100
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,9.000000,NaN,"counts",100
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,35.000000,NaN,"ms",100
"org.example.BranchBenchmark.run","avgt",1,5,448.805374,7.320281,"ms/op",1000
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,1079.314424,17.947882,"MB/sec",1000
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,589933880.000000,384866.545432,"B/op",1000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,764.653920,506.995426,"MB/sec",1000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,417842556.342857,274728274.036660,"B/op",1000
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,5.000000,NaN,"counts",1000
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,99.000000,NaN,"ms",1000
"org.example.BranchBenchmark.run","avgt",1,5,1217.275193,84.963182,"ms/op",2000
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,1011.357611,61.667023,"MB/sec",2000
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,1470216220.266667,758315.912540,"B/op",2000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,934.771674,319.429336,"MB/sec",2000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,1358325350.400000,429671512.239991,"B/op",2000
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,5.000000,NaN,"counts",2000
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,244.000000,NaN,"ms",2000
"org.example.BranchBenchmark.run","avgt",1,5,2279.740220,118.201320,"ms/op",3000
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,976.834896,48.691924,"MB/sec",3000
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,2595325881.600000,1262774.531569,"B/op",3000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,864.339723,704.492078,"MB/sec",3000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,2297115443.200000,1884203852.573425,"B/op",3000
"org.example.BranchBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,6.709990,23.112992,"MB/sec",3000
"org.example.BranchBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,17705542.400000,60528454.728145,"B/op",3000
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,9.000000,NaN,"counts",3000
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,1256.000000,NaN,"ms",3000
"org.example.BranchBenchmark.run","avgt",1,5,3451.229220,185.122152,"ms/op",4000
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,1013.323117,47.947532,"MB/sec",4000
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,4204834308.800000,1275074.911561,"B/op",4000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,627.468176,71.850988,"MB/sec",4000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,2604557926.400000,395406414.149658,"B/op",4000
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,5.000000,NaN,"counts",4000
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,727.000000,NaN,"ms",4000
"org.example.BranchBenchmark.run","avgt",1,5,9226.212980,156.838091,"ms/op",7000
"org.example.BranchBenchmark.run:·gc.alloc.rate","avgt",1,5,1012.228987,17.701159,"MB/sec",7000
"org.example.BranchBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,10331372496.000000,1391171.937150,"B/op",7000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,932.138230,18.970284,"MB/sec",7000
"org.example.BranchBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,9513939763.200000,126927492.081273,"B/op",7000
"org.example.BranchBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,29.945874,3.599729,"MB/sec",7000
"org.example.BranchBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,305639438.400000,35530472.737567,"B/op",7000
"org.example.BranchBenchmark.run:·gc.count","avgt",1,5,25.000000,NaN,"counts",7000
"org.example.BranchBenchmark.run:·gc.time","avgt",1,5,6387.000000,NaN,"ms",7000
