"Benchmark", "Param: count", "Score", "Unit", "Samples"
"branches", 1000, 141, "ms/op", 1
"branches", 2000, 385, "ms/op", 1
"branches", 3000, 778, "ms/op", 1
"branches", 4000, 1489, "ms/op", 1
"branches", 5000, 2085, "ms/op", 1
"branches", 7500, 5130, "ms/op", 1
"branches", 10000, 10097, "ms/op", 1
"vars", 1000, 18, "ms/op", 1
"vars", 2000, 39, "ms/op", 1
"vars", 3000, 58, "ms/op", 1
"vars", 4000, 37, "ms/op", 1
"vars", 5000, 45, "ms/op", 1
"vars", 7500, 65, "ms/op", 1
"vars", 10000, 88, "ms/op", 1
"mod_inline", 1000, 83, "ms/op", 1
"mod_inline", 2000, 158, "ms/op", 1
"mod_inline", 3000, 242, "ms/op", 1
"mod_inline", 4000, 316, "ms/op", 1
"mod_inline", 5000, 379, "ms/op", 1
"mod_inline", 7500, 557, "ms/op", 1
"mod_inline", 10000, 793, "ms/op", 1
"rec_inline", 1000, 71, "ms/op", 1
"rec_inline", 2000, 138, "ms/op", 1
"rec_inline", 3000, 198, "ms/op", 1
"rec_inline", 4000, 256, "ms/op", 1
"rec_inline", 5000, 315, "ms/op", 1
"rec_inline", 7500, 483, "ms/op", 1
"rec_inline", 10000, 703, "ms/op", 1
"scoped_vars", 1000, 18, "ms/op", 1
"scoped_vars", 2000, 25, "ms/op", 1
"scoped_vars", 3000, 45, "ms/op", 1
"scoped_vars", 4000, 38, "ms/op", 1
"scoped_vars", 5000, 50, "ms/op", 1
"scoped_vars", 7500, 63, "ms/op", 1
"scoped_vars", 10000, 7, "ms/op", 1
