"Benchmark","Param: count","Score","Unit","Samples"
"branches",1000,144,"ms/op",1
"branches",2000,381,"ms/op",1
"branches",3000,805,"ms/op",1
"branches",4000,1480,"ms/op",1
"branches",5000,2247,"ms/op",1
"branches",7500,5352,"ms/op",1
"branches",10000,10066,"ms/op",1
"vars",1000,18,"ms/op",1
"vars",2000,41,"ms/op",1
"vars",3000,60,"ms/op",1
"vars",4000,44,"ms/op",1
"vars",5000,47,"ms/op",1
"vars",7500,63,"ms/op",1
"vars",10000,95,"ms/op",1
"mod_inline",1000,82,"ms/op",1
"mod_inline",2000,157,"ms/op",1
"mod_inline",3000,246,"ms/op",1
"mod_inline",4000,305,"ms/op",1
"mod_inline",5000,381,"ms/op",1
"mod_inline",7500,575,"ms/op",1
"mod_inline",10000,759,"ms/op",1
"rec_inline",1000,75,"ms/op",1
"rec_inline",2000,136,"ms/op",1
"rec_inline",3000,207,"ms/op",1
"rec_inline",4000,260,"ms/op",1
"rec_inline",5000,327,"ms/op",1
"rec_inline",7500,517,"ms/op",1
"rec_inline",10000,662,"ms/op",1
"scoped_vars",1000,17,"ms/op",1
"scoped_vars",2000,24,"ms/op",1
"scoped_vars",3000,42,"ms/op",1
"scoped_vars",4000,39,"ms/op",1
"scoped_vars",5000,44,"ms/op",1
"scoped_vars",7500,63,"ms/op",1
"scoped_vars",10000,8,"ms/op",1
