"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: count"
"org.example.BranchBenchmark.run","avgt",1,5,1.055506,0.022647,"ms/op",1
"org.example.BranchBenchmark.run","avgt",1,5,3.326221,0.033925,"ms/op",10
"org.example.BranchBenchmark.run","avgt",1,5,28.747271,0.121639,"ms/op",100
"org.example.BranchBenchmark.run","avgt",1,5,799.338486,15.436220,"ms/op",1000
"org.example.BranchBenchmark.run","avgt",1,5,2812.596875,303.473918,"ms/op",2000
"org.example.BranchBenchmark.run","avgt",1,5,6585.444530,2693.332727,"ms/op",3000
"org.example.BranchBenchmark.run","avgt",1,5,10884.510120,2931.899912,"ms/op",4000
"org.example.BranchBenchmark.run","avgt",1,5,17434.778980,2895.999542,"ms/op",5000
"org.example.VarsBenchmark.run","avgt",1,5,1.041952,0.020979,"ms/op",1
"org.example.VarsBenchmark.run","avgt",1,5,2.536321,0.033458,"ms/op",10
"org.example.VarsBenchmark.run","avgt",1,5,19.641872,0.125035,"ms/op",100
"org.example.VarsBenchmark.run","avgt",1,5,457.794722,8.221304,"ms/op",1000
"org.example.VarsBenchmark.run","avgt",1,5,1648.961293,116.164726,"ms/op",2000
"org.example.VarsBenchmark.run","avgt",1,5,3267.461780,347.045120,"ms/op",3000
"org.example.VarsBenchmark.run","avgt",1,5,6244.363600,1625.942072,"ms/op",4000
"org.example.VarsBenchmark.run","avgt",1,5,9599.485720,2673.914626,"ms/op",5000
